model_size,init_time,tokens,decode_time,speed,count
1b,0.74,30,0.27,109.60,15
1b,0.81,30,0.32,93.77,15
1b,0.78,30,0.30,100.62,15
1b,0.76,30,0.27,109.43,15
1b,0.76,30,0.27,110.01,15
1b,0.74,30,0.29,102.27,15
1b,0.76,30,0.28,107.89,15
1b,0.77,30,0.27,110.50,15
1b,0.77,30,0.29,104.36,15
1b,0.73,30,0.27,109.50,15
1b,0.69,30,0.27,110.86,15
1b,0.70,30,0.28,108.86,15
1b,0.81,30,0.27,110.29,15
1b,0.77,30,0.29,102.14,15
1b,0.81,30,0.27,109.24,15
1b,0.74,30,0.27,109.31,15
1b,0.72,30,0.28,106.83,15
1b,0.85,30,0.29,103.63,15
1b,0.79,30,0.30,101.67,15
1b,0.75,30,0.28,108.61,15
1b,0.76,30,0.27,110.88,15
1b,0.79,30,0.29,102.59,15
1b,0.75,30,0.27,109.35,15
1b,0.72,30,0.27,109.34,15
1b,0.77,30,0.30,101.60,15
1b,0.74,30,0.27,109.57,15
1b,0.79,30,0.32,93.40,15
1b,0.78,30,0.30,100.97,15
1b,0.76,30,0.27,110.48,15
1b,0.81,30,0.32,93.43,15
1b,0.78,30,0.27,110.35,15
1b,0.83,30,0.34,88.67,15
1b,0.75,30,0.31,97.63,15
1b,0.73,30,0.27,111.19,15
1b,0.81,30,0.28,107.39,15
1b,0.77,30,0.30,101.68,15
1b,0.75,30,0.27,110.14,15
1b,0.70,30,0.27,110.88,15
1b,0.77,30,0.27,110.55,15
1b,0.84,30,0.32,93.89,15
1b,0.85,30,0.30,98.96,15
1b,0.70,30,0.27,109.12,15
1b,0.82,30,0.32,93.30,15
1b,0.85,30,0.32,93.88,15
1b,0.75,30,0.29,103.82,15
1b,0.73,30,0.27,109.85,15
1b,0.71,30,0.29,103.24,15
1b,0.87,30,0.32,94.16,15
1b,0.87,30,0.32,92.90,15
1b,0.76,30,0.30,99.66,15
1b,0.73,30,0.27,111.16,15
1b,0.69,30,0.29,103.96,15
1b,0.78,30,0.28,107.83,15
1b,0.75,30,0.28,108.60,15
1b,0.72,30,0.29,103.70,15
1b,0.71,30,0.28,107.79,15
1b,0.69,30,0.27,109.18,15
1b,0.72,30,0.27,110.17,15
1b,0.85,30,0.33,91.77,15
1b,0.82,30,0.28,109.06,15
1b,0.75,30,0.27,110.09,15
